log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition,model
-8.774283603833164,0.16963738152914073,2797.448941076279,1.8304962655126955,43.66847826086956,28.795289855072465,27.536231884057973,3.7158984563629094,5.949152596468761,6.023232949059261,11040.0,60.0,1,Exp1_Synth_to_Synth,Synthetic_Baseline,GMM
0.0,0.030427325817888432,726.3368396641068,4.429123864839762,34.130434782608695,32.22826086956522,33.641304347826086,3.213036898642411,4.908946328206402,6.883300123208657,11040.0,60.0,1,Exp1_Synth_to_Synth,Synthetic_Baseline,Severity_Tercile
0.0,0.18379605286214035,2946.998975581328,1.7432639840348436,44.7463768115942,28.55978260869565,26.693840579710145,3.62592023037125,6.0572609487704785,6.15091313808369,11040.0,60.0,1,Exp1_Synth_to_Synth,Synthetic_Baseline,KMeans
-8.266194344298047,0.21916930923255165,365.316858712863,1.5387226060284742,41.63265306122449,30.816326530612244,27.55102040816326,3.5365537787270225,6.4987301887592475,6.626973750708662,980.0,13.0,1,Exp2_Real_to_Real,Real_Only_Baseline,GMM
0.0,0.02801761435569208,61.6544195009729,4.316911475119752,32.142857142857146,32.44897959183673,35.40816326530612,3.0427063900604496,5.109100889328856,7.526417221157461,980.0,13.0,1,Exp2_Real_to_Real,Real_Only_Baseline,Severity_Tercile
0.0,0.2327131035445721,376.2146387255137,1.4832025920906358,45.91836734693878,30.816326530612244,23.26530612244898,3.641889162284842,6.489081554350979,7.001143065680185,980.0,13.0,1,Exp2_Real_to_Real,Real_Only_Baseline,KMeans
-9.094896318620393,0.21693006894787698,331.9450885986461,1.5436260823629613,42.55102040816327,31.122448979591837,26.3265306122449,3.5537833456896744,6.477114058168046,6.733976467144993,980.0,13.0,1,Exp3_Synth_to_Real,ZeroShot_Transfer,GMM
0.0,0.03219703377254712,83.31774243900225,3.722500425292051,31.22448979591837,27.55102040816326,41.224489795918366,3.0086370641727074,4.919889464912597,7.291584837262394,980.0,13.0,1,Exp3_Synth_to_Real,ZeroShot_Transfer,Severity_Tercile
0.0,0.22429617862260948,343.9211740855648,1.5060202033335595,40.61224489795918,32.6530612244898,26.73469387755102,3.425625725356706,6.45559322773084,6.739024808593201,980.0,13.0,1,Exp3_Synth_to_Real,ZeroShot_Transfer,KMeans
-8.763450859692142,0.2166605533728739,339.63745450913734,1.5472844002162347,42.6530612244898,31.22448979591837,26.122448979591837,3.5609188907128413,6.4701070988948395,6.744126964208859,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1,GMM
-8.910134106400525,0.21711962855145656,336.06752729319055,1.5436043857273045,42.6530612244898,31.326530612244895,26.02040816326531,3.5536504982305845,6.467161218449049,6.760662623894173,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1,GMM
-8.982933042925437,0.2172438897824962,334.74574481900646,1.5431104678173926,42.55102040816327,31.326530612244895,26.122448979591837,3.551021421051186,6.467161218449049,6.752417753027554,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1,GMM
-8.784579313545327,0.16979657328728565,2792.368467551735,1.8393905473774181,43.74094202898551,28.442028985507246,27.817028985507246,3.720386267498933,5.936430402578253,6.044689747195031,11040.0,60.0,2,Exp1_Synth_to_Synth,Synthetic_Baseline,GMM
