log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition
-8.774283603833162,0.16963738152914073,2797.448941076279,1.8304962655126955,43.66847826086956,28.795289855072465,27.536231884057973,3.7158984563629094,5.949152596468761,6.023232949059261,11040.0,60.0,1,Exp1_Synth_to_Synth,Synthetic_Baseline
-8.266194344298043,0.21916930923255165,365.316858712863,1.5387226060284742,41.63265306122449,30.816326530612244,27.55102040816326,3.5365537787270225,6.4987301887592475,6.626973750708662,980.0,13.0,1,Exp2_Real_to_Real,Real_Only_Baseline
-9.094896318620393,0.21693006894787698,331.9450885986461,1.5436260823629613,42.55102040816327,31.122448979591837,26.3265306122449,3.5537833456896744,6.477114058168046,6.733976467144993,980.0,13.0,1,Exp3_Synth_to_Real,ZeroShot_Transfer
-8.763450859692142,0.2166605533728739,339.63745450913734,1.5472844002162347,42.6530612244898,31.22448979591837,26.122448979591837,3.5609188907128413,6.4701070988948395,6.744126964208859,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1
-8.910134106400523,0.21711962855145656,336.06752729319055,1.5436043857273045,42.6530612244898,31.326530612244895,26.02040816326531,3.5536504982305845,6.467161218449049,6.760662623894173,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1
-8.982933042925437,0.2172438897824962,334.74574481900646,1.5431104678173926,42.55102040816327,31.326530612244895,26.122448979591837,3.551021421051186,6.467161218449049,6.752417753027554,980.0,13.0,1,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1
-8.784579313545327,0.16979657328728565,2792.368467551735,1.8393905473774181,43.74094202898551,28.442028985507246,27.817028985507246,3.720386267498933,5.936430402578253,6.044689747195031,11040.0,60.0,2,Exp1_Synth_to_Synth,Synthetic_Baseline
-7.942796162521346,0.22462002778269793,294.43675187564696,1.4955961639458841,41.84100418410041,30.683403068340308,27.475592747559276,3.4785499138239993,6.3060734291328675,6.608784102274327,717.0,12.0,2,Exp2_Real_to_Real,Real_Only_Baseline
-8.9272919572732,0.21947049223511397,264.73436260465866,1.5153243505236533,41.56206415620641,30.543933054393307,27.89400278940028,3.4746379684263,6.323268548648487,6.562968349797085,717.0,12.0,2,Exp3_Synth_to_Real,ZeroShot_Transfer
-8.571651194458358,0.21979261723954702,271.551139871203,1.5149379682056534,41.701534170153415,30.404463040446306,27.89400278940028,3.480020072153044,6.33206883767152,6.559572942591608,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1
